id,author,genre,title,word,frequency,rank,log_rank,log_freq
realism_0,zola,realism,zola_Zola-Marseille.epub,douglas,35,108,2.03342375548695,1.5440680443502757
realism_0,zola,realism,zola_Zola-Marseille.epub,depuis,35,108,2.03342375548695,1.5440680443502757
realism_0,zola,realism,zola_Zola-Marseille.epub,vers,35,108,2.03342375548695,1.5440680443502757
realism_0,zola,realism,zola_Zola-Marseille.epub,tête,35,108,2.03342375548695,1.5440680443502757
realism_0,zola,realism,zola_Zola-Marseille.epub,navait,34,116,2.0644579892269186,1.5314789170422551
realism_0,zola,realism,zola_Zola-Marseille.epub,face,34,116,2.0644579892269186,1.5314789170422551
realism_0,zola,realism,zola_Zola-Marseille.epub,mit,33,118,2.0718820073061255,1.5185139398778875
realism_0,zola,realism,zola_Zola-Marseille.epub,trouver,33,118,2.0718820073061255,1.5185139398778875
realism_0,zola,realism,zola_Zola-Marseille.epub,petit,33,118,2.0718820073061255,1.5185139398778875
realism_0,zola,realism,zola_Zola-Marseille.epub,hommes,32,121,2.08278537031645,1.505149978319906
realism_0,zola,realism,zola_Zola-Marseille.epub,jours,32,121,2.08278537031645,1.505149978319906
realism_0,zola,realism,zola_Zola-Marseille.epub,enfin,31,123,2.089905111439398,1.4913616938342726
realism_0,zola,realism,zola_Zola-Marseille.epub,voulait,31,123,2.089905111439398,1.4913616938342726
realism_0,zola,realism,zola_Zola-Marseille.epub,bouquetière,31,123,2.089905111439398,1.4913616938342726
realism_0,zola,realism,zola_Zola-Marseille.epub,avez,31,123,2.089905111439398,1.4913616938342726
realism_0,zola,realism,zola_Zola-Marseille.epub,dès,31,123,2.089905111439398,1.4913616938342726
realism_0,zola,realism,zola_Zola-Marseille.epub,mademoiselle,30,128,2.1072099696478683,1.4771212547196624
realism_0,zola,realism,zola_Zola-Marseille.epub,chastanier,30,128,2.1072099696478683,1.4771212547196624
realism_0,zola,realism,zola_Zola-Marseille.epub,contre,30,128,2.1072099696478683,1.4771212547196624
realism_0,zola,realism,zola_Zola-Marseille.epub,continua,30,128,2.1072099696478683,1.4771212547196624
realism_0,zola,realism,zola_Zola-Marseille.epub,fortune,30,128,2.1072099696478683,1.4771212547196624
realism_0,zola,realism,zola_Zola-Marseille.epub,temps,30,128,2.1072099696478683,1.4771212547196624
realism_0,zola,realism,zola_Zola-Marseille.epub,trop,30,128,2.1072099696478683,1.4771212547196624
realism_0,zola,realism,zola_Zola-Marseille.epub,sont,29,135,2.130333768495006,1.462397997898956
realism_0,zola,realism,zola_Zola-Marseille.epub,nièce,29,135,2.130333768495006,1.462397997898956
realism_0,zola,realism,zola_Zola-Marseille.epub,grand,29,135,2.130333768495006,1.462397997898956
realism_0,zola,realism,zola_Zola-Marseille.epub,cur,29,135,2.130333768495006,1.462397997898956
realism_0,zola,realism,zola_Zola-Marseille.epub,demander,29,135,2.130333768495006,1.462397997898956
